L	0.1840	2.8781	1477010443100000	-0.0008	2.8000	-0.0157	0.9999
L	0.0993	3.6062	1477010443900000	-0.1194	3.5890	-0.2639	0.9646
L	-0.5687	4.2695	1477010444700000	-0.4305	4.3238	-0.4955	0.8686
L	-0.5718	4.9262	1477010445500000	-0.9146	4.9581	-0.6959	0.7181
L	-1.3405	5.8196	1477010446300000	-1.5412	5.4520	-0.8526	0.5225
L	-2.4307	5.5985	1477010447100000	-2.2710	5.7747	-0.9558	0.2940
L	-2.9844	6.0658	1477010447900000	-3.0581	5.9057	-0.9989	0.0471
L	-3.5536	5.9140	1477010448700000	-3.8530	5.8368	-0.9792	-0.2028
L	-4.5916	5.4983	1477010449500000	-4.6058	5.5725	-0.8980	-0.4399
L	-5.6690	5.2031	1477010450300000	-5.2693	5.1292	-0.7604	-0.6494
L	-5.8774	4.6755	1477010451100000	-5.8016	4.5348	-0.5750	-0.8181
L	-6.1336	3.6671	1477010451900000	-6.1694	3.8267	-0.3535	-0.9354
L	-6.2989	3.1193	1477010452700000	-6.3496	3.0494	-0.1097	-0.9940
L	-6.2475	2.3274	1477010453500000	-6.3308	2.2518	0.1409	-0.9900
L	-5.8573	1.4882	1477010454300000	-6.1142	1.4838	0.3827	-0.9239
L	-5.9664	0.6944	1477010455100000	-5.7135	0.7939	0.6004	-0.7997
L	-5.1241	0.2415	1477010455900000	-5.1537	0.2252	0.7804	-0.6253
L	-4.2924	-0.0985	1477010456700000	-4.4701	-0.1863	0.9114	-0.4115
L	-3.6343	-0.2090	1477010457500000	-3.7057	-0.4149	0.9851	-0.1720
L	-2.8288	-0.5233	1477010458300000	-2.9084	-0.4463	0.9969	0.0784
L	-1.9907	-0.3492	1477010459100000	-2.1284	-0.2783	0.9461	0.3239
L	-1.2725	0.3507	1477010459900000	-1.4146	0.0783	0.8358	0.5490
L	-0.8528	0.7317	1477010460700000	-0.8119	0.6013	0.6730	0.7396
L	-0.3299	1.2348	1477010461500000	-0.3583	1.2577	0.4680	0.8837
L	-0.0299	2.2043	1477010462300000	-0.0821	2.0062	0.2335	0.9724
L	-0.1120	2.8525	1477010463100000	-0.0008	2.8000	-0.0157	0.9999
L	0.1258	3.4709	1477010463900000	0.0930	3.5924	0.2335	0.9724
L	0.3215	4.3830	1477010464700000	0.3809	4.3365	0.4680	0.8837
L	0.6109	5.0834	1477010465500000	0.8448	4.9857	0.6730	0.7396
L	1.5569	5.5073	1477010466300000	1.4556	5.4991	0.8358	0.5490
L	2.1542	5.5825	1477010467100000	2.1749	5.8445	0.9461	0.3239
L	2.9360	6.1978	1477010467900000	2.9574	6.0002	0.9969	0.0784
L	3.7666	6.0427	1477010468700000	3.7541	5.9563	0.9851	-0.1720
L	4.6708	5.8291	1477010469500000	4.5149	5.7157	0.9114	-0.4115
L	4.9701	5.3106	1477010470300000	5.1919	5.2935	0.7804	-0.6253
L	5.6916	4.8901	1477010471100000	5.7427	4.7161	0.6004	-0.7997
L	6.2463	3.9260	1477010471900000	6.1326	4.0200	0.3827	-0.9239
L	6.4379	3.3217	1477010472700000	6.3370	3.2487	0.1409	-0.9900
L	6.6014	2.4295	1477010473500000	6.3433	2.4508	-0.1097	-0.9940
L	6.1713	1.8122	1477010474300000	6.1510	1.6765	-0.3535	-0.9354
L	5.4601	1.1589	1477010475100000	5.7721	0.9743	-0.5750	-0.8181
L	5.1897	0.3558	1477010475900000	5.2304	0.3883	-0.7604	-0.6494
L	4.6833	0.0954	1477010476700000	4.5601	-0.0445	-0.8980	-0.4399
L	4.1062	-0.1993	1477010477500000	3.8032	-0.2970	-0.9792	-0.2028
L	3.1789	-0.0386	1477010478300000	3.0073	-0.3533	-0.9989	0.0471
L	2.3938	-0.2366	1477010479100000	2.2224	-0.2100	-0.9558	0.2940
L	1.3653	0.0325	1477010479900000	1.4978	0.1241	-0.8526	0.5225
L	0.8968	0.8161	1477010480700000	0.8790	0.6278	-0.6959	0.7181
L	0.4832	1.4008	1477010481500000	0.4050	1.2696	-0.4955	0.8686
L	0.1183	2.0411	1477010482300000	0.1054	2.0092	-0.2639	0.9646
L	0.1442	2.8568	1477010483100000	-0.0008	2.8000	-0.0157	0.9999
