R	2.8442	1.5603	1.0005	1477010443400000	-0.0220	3.0991	-0.1097	0.9940
R	3.6722	1.5920	0.8108	1477010444200000	-0.2143	3.8735	-0.3535	0.9354
R	4.6524	1.6766	0.6645	1477010445000000	-0.5932	4.5757	-0.5750	0.8181
R	5.4981	1.7394	0.9063	1477010445800000	-1.1348	5.1616	-0.7604	0.6494
R	6.2381	1.8821	0.8864	1477010446600000	-1.8051	5.5945	-0.8980	0.4399
R	6.1754	1.9504	0.5281	1477010447400000	-2.5620	5.8470	-0.9792	0.2028
R	6.4089	2.1189	0.6478	1477010448200000	-3.3579	5.9033	-0.9989	-0.0471
R	7.0464	2.2214	0.7502	1477010449000000	-4.1429	5.7600	-0.9558	-0.2940
R	6.7873	2.2755	0.3566	1477010449800000	-4.8675	5.4259	-0.8526	-0.5225
R	7.7257	2.3755	0.2275	1477010450600000	-5.4863	4.9222	-0.6959	-0.7181
R	7.2424	2.5294	-0.4004	1477010451400000	-5.9603	4.2804	-0.4955	-0.8686
R	7.4356	2.6534	-0.4194	1477010452200000	-6.2599	3.5408	-0.2639	-0.9646
R	7.2590	2.7333	-0.5593	1477010453000000	-6.3661	2.7500	-0.0157	-0.9999
R	6.8845	2.8556	-0.8050	1477010453800000	-6.2723	1.9576	0.2334	-0.9724
R	6.1848	2.9611	-0.4806	1477010454600000	-5.9844	1.2135	0.4679	-0.8838
R	5.9376	3.0825	-0.1797	1477010455400000	-5.5205	0.5643	0.6730	-0.7396
R	4.6174	3.1363	-1.4482	1477010456200000	-4.9097	0.0509	0.8358	-0.5490
R	3.7363	-3.1049	-0.8537	1477010457000000	-4.1904	-0.2945	0.9461	-0.3239
R	3.7545	-3.0605	-1.0003	1477010457800000	-3.4079	-0.4502	0.9969	-0.0785
R	2.5629	-2.9711	-1.2116	1477010458600000	-2.6112	-0.4063	0.9851	0.1719
R	2.1759	-3.0485	-0.7575	1477010459400000	-1.8504	-0.1657	0.9114	0.4115
R	1.0360	2.9225	-1.5042	1477010460200000	-1.1734	0.2565	0.7804	0.6252
R	0.7043	2.2377	0.2350	1477010461000000	-0.6226	0.8338	0.6004	0.7997
R	1.0979	1.7671	0.9442	1477010461800000	-0.2327	1.5300	0.3827	0.9239
R	2.1665	1.6219	0.5873	1477010462600000	-0.0282	2.3013	0.1409	0.9900
R	3.2963	1.5108	1.3925	1477010463400000	0.0110	3.0997	0.0785	0.9969
R	4.4379	1.5209	0.5367	1477010464200000	0.1789	3.8797	0.3240	0.9461
R	4.8753	1.4466	0.9500	1477010465000000	0.5356	4.5934	0.5491	0.8358
R	5.1461	1.4040	0.5066	1477010465800000	1.0585	5.1961	0.7397	0.6730
R	5.5645	1.2790	0.3561	1477010466600000	1.7149	5.6497	0.8838	0.4679
R	6.2617	1.2014	1.0488	1477010467400000	2.4635	5.9259	0.9724	0.2334
R	7.4262	1.0740	0.2526	1477010468200000	3.2572	6.0072	0.9999	-0.0157
R	7.2816	0.9994	0.3124	1477010469000000	4.0463	5.8886	0.9646	-0.2639
R	7.0139	0.7515	-0.2172	1477010469800000	4.7810	5.5775	0.8686	-0.4955
R	7.3480	0.7605	0.3084	1477010470600000	5.4153	5.0934	0.7181	-0.6959
R	7.4302	0.6624	-0.1786	1477010471400000	5.9093	4.4668	0.5225	-0.8527
R	6.7545	0.5553	-0.2834	1477010472200000	6.2319	3.7370	0.2940	-0.9558
R	6.9106	0.4065	-0.5517	1477010473000000	6.3629	2.9500	0.0471	-0.9989
R	6.7818	0.3471	-0.4182	1477010473800000	6.2941	2.1550	-0.2028	-0.9792
R	5.5090	0.1904	-1.0122	1477010474600000	6.0297	1.4022	-0.4400	-0.8980
R	4.9173	0.1412	-1.1050	1477010475400000	5.5864	0.7388	-0.6495	-0.7604
R	4.6230	-0.0146	-0.6023	1477010476200000	4.9920	0.2064	-0.8182	-0.5750
R	4.2286	-0.0231	-0.5597	1477010477000000	4.2840	-0.1614	-0.9354	-0.3535
R	3.5815	-0.1253	-0.6011	1477010477800000	3.5067	-0.3416	-0.9940	-0.1097
R	2.6551	-0.1250	-1.4423	1477010478600000	2.7090	-0.3228	-0.9900	0.1409
R	1.5862	-0.0316	-1.4197	1477010479400000	1.9410	-0.1062	-0.9239	0.3827
R	1.1550	0.2136	-0.3127	1477010480200000	1.2511	0.2946	-0.7997	0.6004
R	1.0346	0.9656	0.3895	1477010481000000	0.6825	0.8543	-0.6252	0.7804
R	1.6063	1.3559	0.9701	1477010481800000	0.2709	1.5379	-0.4115	0.9114
R	2.2150	1.5475	0.7258	1477010482600000	0.0423	2.3024	-0.1719	0.9851
